event_name,user_pseudo_id,item_id,item_name
select_item,5E583B935F604415A28F4AA16CA9756F,13292,Ayam Goreng dan Tumis Kangkung
select_item,5E583B935F604415A28F4AA16CA9756F,13388,Nasi Fuyunghai
select_item,5E583B935F604415A28F4AA16CA9756F,12126,Hainamese Chicken Salted Egg Rice HUH
select_item,5E583B935F604415A28F4AA16CA9756F,266,Chicken Karage Geprek Don
add_to_cart,5E583B935F604415A28F4AA16CA9756F,266,Chicken Karage Geprek Don
select_item,5E583B935F604415A28F4AA16CA9756F,1831,Smoked Beef Kani Mentai Rice
select_item,5E583B935F604415A28F4AA16CA9756F,1831,Smoked Beef Kani Mentai Rice
add_to_cart,5E583B935F604415A28F4AA16CA9756F,1831,Smoked Beef Kani Mentai Rice
select_item,5E583B935F604415A28F4AA16CA9756F,11370,Nasgor Ayam Sambal Ijo
add_to_cart,5E583B935F604415A28F4AA16CA9756F,11370,Nasgor Ayam Sambal Ijo
